Usia,Penghasilan,Status_Pekerjaan,Jumlah_Tanggungan,Riwayat_Kredit,Besar_Pinjaman,Jangka_Waktu,Layak
28,5,Swasta,1,Lancar,375,25,Layak
45,3,Pelajar,1,Lancar,468,10,Tidak Layak
21,23,Swasta,3,Lancar,421,20,Layak
39,4,Swasta,1,Lancar,355,10,Tidak Layak
47,22,PNS,2,Lancar,262,15,Layak
26,20,Swasta,4,Lancar,225,10,Layak
27,2,PNS,4,Lancar,242,5,Tidak Layak
54,4,PNS,1,Lancar,388,5,Tidak Layak
33,22,PNS,0,Lancar,198,25,Layak
36,9,Pelajar,1,Lancar,169,10,Layak
55,2,Pelajar,0,Lancar,304,25,Tidak Layak
59,18,Tidak Bekerja,1,Macet,452,25,Tidak Layak
23,14,Swasta,3,Lancar,499,25,Layak
21,21,Pelajar,5,Lancar,92,20,Layak
25,18,Swasta,3,Lancar,300,15,Layak
23,4,Pelajar,0,Macet,118,15,Tidak Layak
48,2,Wirausaha,0,Lancar,66,20,Tidak Layak
37,20,Wirausaha,4,Lancar,237,10,Layak
45,19,Swasta,4,Macet,415,5,Tidak Layak
53,8,PNS,1,Lancar,392,10,Layak
29,14,Pelajar,5,Lancar,161,15,Layak
55,17,Swasta,3,Lancar,259,5,Tidak Layak
33,23,Swasta,2,Lancar,180,15,Layak
50,3,Tidak Bekerja,0,Lancar,260,5,Tidak Layak
34,12,Pelajar,1,Lancar,221,10,Layak
27,14,PNS,5,Lancar,496,15,Layak
33,20,Tidak Bekerja,5,Lancar,196,5,Layak
42,1,Tidak Bekerja,4,Lancar,232,10,Tidak Layak
59,17,Wirausaha,5,Lancar,235,15,Layak
40,18,Pelajar,1,Lancar,299,10,Layak
35,23,Swasta,0,Lancar,382,20,Layak
37,15,Pelajar,1,Lancar,253,5,Layak
43,15,Swasta,1,Lancar,99,10,Layak
45,8,Swasta,3,Macet,272,20,Layak
44,6,Pelajar,2,Lancar,104,25,Layak
60,6,PNS,1,Lancar,324,5,Layak
48,21,PNS,2,Lancar,408,5,Layak
34,12,Tidak Bekerja,0,Lancar,359,25,Layak
20,18,PNS,1,Lancar,55,15,Layak
44,12,Pelajar,4,Lancar,122,20,Layak
26,4,PNS,2,Lancar,187,25,Tidak Layak
28,22,Swasta,2,Lancar,486,5,Layak
43,24,Wirausaha,5,Lancar,140,15,Layak
20,16,Pelajar,0,Lancar,198,15,Layak
27,8,Swasta,4,Lancar,77,20,Layak
43,19,Swasta,2,Lancar,440,20,Layak
30,9,PNS,5,Macet,388,15,Layak
36,7,Pelajar,0,Lancar,429,20,Layak
27,20,Wirausaha,4,Lancar,83,15,Layak
54,5,PNS,3,Lancar,244,10,Layak
54,22,PNS,5,Lancar,241,25,Layak
52,5,Swasta,0,Lancar,106,5,Layak
24,3,PNS,5,Macet,360,10,Tidak Layak
58,21,Swasta,4,Lancar,304,5,Tidak Layak
60,1,Tidak Bekerja,4,Lancar,70,25,Tidak Layak
47,12,Swasta,4,Macet,483,20,Tidak Layak
26,19,Swasta,4,Lancar,198,5,Layak
28,13,Pelajar,4,Lancar,383,15,Layak
27,2,Swasta,2,Lancar,159,25,Tidak Layak
31,8,Pelajar,3,Lancar,479,25,Layak
53,2,PNS,5,Lancar,69,15,Tidak Layak
52,24,PNS,0,Macet,236,5,Tidak Layak
42,7,PNS,1,Lancar,191,10,Layak
43,12,Pelajar,3,Lancar,164,15,Layak
56,2,PNS,1,Lancar,269,20,Tidak Layak
54,9,Swasta,5,Lancar,308,5,Tidak Layak
59,22,Pelajar,5,Lancar,387,15,Tidak Layak
41,22,Wirausaha,1,Lancar,195,5,Layak
46,5,Wirausaha,5,Lancar,260,25,Layak
54,1,PNS,5,Lancar,443,15,Tidak Layak
20,9,Swasta,2,Lancar,165,5,Tidak Layak
54,24,PNS,5,Lancar,234,10,Layak
56,5,Swasta,2,Lancar,275,5,Tidak Layak
33,17,Pelajar,4,Lancar,116,10,Layak
22,8,Swasta,0,Macet,176,20,Tidak Layak
20,16,Pelajar,2,Lancar,479,20,Tidak Layak
24,8,Swasta,2,Lancar,143,15,Layak
45,3,Swasta,2,Lancar,74,20,Tidak Layak
33,13,PNS,5,Lancar,160,20,Layak
58,4,PNS,1,Lancar,258,10,Tidak Layak
46,24,Pelajar,5,Lancar,183,25,Layak
28,18,Swasta,2,Lancar,81,25,Layak
34,19,PNS,0,Lancar,265,20,Layak
34,18,Wirausaha,4,Lancar,326,15,Layak
45,11,Swasta,4,Macet,435,25,Tidak Layak
32,6,Wirausaha,3,Lancar,390,25,Layak
51,15,Swasta,3,Lancar,121,20,Layak
58,2,Pelajar,3,Lancar,397,5,Tidak Layak
51,17,Wirausaha,5,Lancar,334,25,Layak
23,9,PNS,3,Macet,311,15,Tidak Layak
49,4,Swasta,2,Lancar,162,15,Tidak Layak
56,7,Pelajar,5,Lancar,339,20,Tidak Layak
42,7,Wirausaha,0,Lancar,256,15,Layak
58,24,Wirausaha,3,Lancar,435,15,Tidak Layak
34,1,PNS,5,Lancar,173,5,Tidak Layak
48,15,Wirausaha,5,Lancar,266,5,Layak
55,6,Wirausaha,1,Lancar,89,5,Layak
32,9,Pelajar,3,Lancar,465,15,Layak
51,3,Swasta,5,Lancar,341,15,Tidak Layak
26,9,Pelajar,2,Lancar,255,25,Layak
41,21,Wirausaha,2,Lancar,459,5,Layak
47,9,Wirausaha,1,Lancar,213,10,Layak
21,1,Swasta,2,Lancar,117,5,Tidak Layak
25,1,PNS,2,Lancar,450,15,Tidak Layak
47,3,Swasta,2,Lancar,231,10,Tidak Layak
47,3,PNS,3,Lancar,281,15,Tidak Layak
39,3,Swasta,4,Lancar,159,5,Tidak Layak
49,13,PNS,4,Lancar,109,15,Layak
30,5,Wirausaha,1,Lancar,382,5,Layak
47,15,PNS,2,Lancar,69,5,Layak
44,2,PNS,3,Lancar,96,25,Tidak Layak
58,13,Wirausaha,5,Lancar,104,15,Layak
52,1,Wirausaha,2,Lancar,155,20,Tidak Layak
20,8,Swasta,5,Lancar,226,20,Layak
46,14,Swasta,5,Macet,231,15,Tidak Layak
32,12,Wirausaha,0,Lancar,202,25,Layak
60,1,Wirausaha,2,Lancar,213,25,Tidak Layak
22,2,Swasta,2,Macet,245,10,Tidak Layak
58,12,PNS,5,Lancar,64,5,Layak
25,13,Pelajar,4,Lancar,347,25,Layak
27,1,Swasta,1,Lancar,372,25,Tidak Layak
46,1,Tidak Bekerja,0,Lancar,117,5,Tidak Layak
28,7,Pelajar,5,Lancar,356,5,Layak
56,16,Swasta,2,Lancar,60,20,Layak
52,13,PNS,3,Macet,63,10,Layak
43,1,Swasta,1,Lancar,203,5,Tidak Layak
34,4,Pelajar,3,Lancar,446,15,Tidak Layak
51,3,Swasta,1,Lancar,306,20,Tidak Layak
51,14,Pelajar,2,Lancar,285,5,Tidak Layak
43,17,Wirausaha,4,Lancar,243,10,Layak
60,1,Wirausaha,4,Lancar,121,10,Tidak Layak
31,17,Wirausaha,0,Lancar,389,5,Layak
58,20,Tidak Bekerja,0,Lancar,462,25,Tidak Layak
21,1,Wirausaha,0,Lancar,315,10,Tidak Layak
22,15,Swasta,5,Macet,223,25,Tidak Layak
56,1,Swasta,0,Lancar,308,10,Tidak Layak
36,10,Tidak Bekerja,0,Lancar,132,10,Layak
21,10,Pelajar,3,Lancar,411,25,Tidak Layak
21,23,PNS,5,Lancar,332,10,Layak
47,12,Swasta,4,Lancar,190,5,Layak
42,16,Swasta,5,Lancar,275,5,Layak
56,13,Pelajar,4,Lancar,149,15,Layak
51,11,PNS,1,Macet,445,25,Tidak Layak
52,20,Pelajar,5,Lancar,447,5,Tidak Layak
20,4,Swasta,4,Macet,491,25,Tidak Layak
38,20,PNS,5,Lancar,296,5,Layak
21,15,PNS,5,Lancar,246,5,Layak
45,23,Tidak Bekerja,3,Lancar,453,10,Tidak Layak
51,10,PNS,4,Lancar,121,15,Layak
25,9,Pelajar,2,Lancar,354,5,Layak
51,2,Wirausaha,4,Lancar,61,15,Tidak Layak
23,4,PNS,2,Lancar,303,10,Tidak Layak
30,22,Pelajar,4,Lancar,189,25,Layak
36,16,PNS,5,Lancar,455,5,Layak
57,19,Pelajar,3,Lancar,124,10,Layak
43,21,Pelajar,5,Macet,74,15,Tidak Layak
24,10,PNS,4,Lancar,211,5,Layak
53,2,PNS,3,Lancar,379,15,Tidak Layak
25,4,PNS,1,Lancar,282,10,Tidak Layak
41,10,Swasta,3,Lancar,307,15,Layak
30,9,PNS,5,Lancar,267,15,Layak
35,14,Swasta,2,Lancar,290,25,Layak
52,19,Swasta,3,Lancar,257,5,Tidak Layak
28,19,Pelajar,1,Lancar,269,5,Layak
25,2,Swasta,1,Lancar,118,25,Tidak Layak
35,4,Wirausaha,0,Macet,293,25,Tidak Layak
48,14,Swasta,0,Lancar,200,20,Layak
22,3,Swasta,3,Lancar,462,15,Tidak Layak
39,24,Tidak Bekerja,3,Lancar,114,5,Layak
55,23,Swasta,0,Macet,324,15,Tidak Layak
38,1,Pelajar,1,Lancar,457,5,Tidak Layak
45,6,Pelajar,2,Lancar,52,5,Layak
22,22,Wirausaha,3,Lancar,282,5,Tidak Layak
38,10,Wirausaha,0,Lancar,295,5,Layak
39,3,Tidak Bekerja,4,Lancar,347,10,Tidak Layak
51,12,PNS,2,Macet,382,20,Tidak Layak
26,19,Swasta,4,Lancar,404,20,Layak
60,24,Wirausaha,2,Lancar,167,5,Tidak Layak
52,3,Swasta,2,Lancar,349,10,Tidak Layak
59,23,Swasta,4,Lancar,247,25,Layak
58,5,Pelajar,2,Lancar,299,5,Tidak Layak
37,16,Tidak Bekerja,4,Lancar,149,25,Layak
59,4,Pelajar,4,Lancar,419,10,Tidak Layak
20,21,PNS,4,Lancar,372,5,Layak
30,15,Swasta,1,Lancar,53,25,Layak
47,17,Pelajar,3,Lancar,72,10,Layak
44,19,Wirausaha,5,Macet,142,25,Layak
42,24,Pelajar,0,Lancar,286,20,Layak
50,14,Pelajar,4,Lancar,412,15,Tidak Layak
49,3,Wirausaha,4,Lancar,292,20,Tidak Layak
54,4,Swasta,2,Lancar,496,20,Tidak Layak
26,6,Wirausaha,1,Lancar,387,5,Layak
35,4,PNS,5,Lancar,199,10,Tidak Layak
45,8,Pelajar,2,Lancar,133,10,Layak
21,3,Pelajar,4,Lancar,444,15,Tidak Layak
20,10,Swasta,4,Macet,149,10,Tidak Layak
31,3,Pelajar,0,Lancar,367,5,Tidak Layak
24,20,Wirausaha,4,Lancar,323,25,Layak
56,3,Pelajar,3,Lancar,220,5,Tidak Layak
51,18,Swasta,2,Lancar,106,10,Layak
28,1,Wirausaha,3,Lancar,202,10,Tidak Layak
60,14,Pelajar,0,Lancar,53,5,Layak
54,4,PNS,0,Lancar,204,10,Tidak Layak
38,12,Pelajar,1,Lancar,287,25,Layak
35,21,Wirausaha,3,Lancar,495,10,Layak
22,2,PNS,5,Macet,223,10,Tidak Layak
39,19,Wirausaha,5,Lancar,232,10,Layak
43,21,Pelajar,2,Lancar,65,10,Layak
52,23,Wirausaha,4,Lancar,173,20,Layak
43,15,Swasta,2,Lancar,434,5,Layak
30,9,Swasta,3,Lancar,442,15,Layak
27,3,Swasta,2,Macet,187,15,Tidak Layak
55,2,Pelajar,4,Lancar,122,20,Tidak Layak
57,8,Wirausaha,1,Macet,408,10,Tidak Layak
59,3,Wirausaha,2,Lancar,85,15,Tidak Layak
39,6,Wirausaha,2,Lancar,257,10,Layak
54,3,Wirausaha,2,Lancar,144,25,Tidak Layak
44,4,Swasta,1,Lancar,136,25,Tidak Layak
54,3,PNS,2,Lancar,166,20,Tidak Layak
44,17,Swasta,0,Lancar,96,15,Layak
48,9,PNS,5,Lancar,369,20,Layak
37,24,Pelajar,4,Lancar,204,10,Layak
37,4,Pelajar,3,Lancar,330,20,Tidak Layak
21,12,Tidak Bekerja,5,Lancar,330,15,Tidak Layak
54,22,PNS,1,Lancar,189,20,Layak
35,11,Tidak Bekerja,1,Lancar,369,25,Layak
60,12,Swasta,4,Lancar,289,25,Layak
55,23,Swasta,5,Lancar,66,10,Layak
52,4,Swasta,2,Macet,126,20,Tidak Layak
23,3,Tidak Bekerja,4,Lancar,362,20,Tidak Layak
52,4,PNS,1,Lancar,314,15,Tidak Layak
33,20,Wirausaha,1,Lancar,360,15,Layak
40,12,Swasta,4,Lancar,226,15,Layak
39,22,Tidak Bekerja,4,Lancar,426,10,Layak
27,20,Wirausaha,0,Lancar,153,20,Layak
26,23,PNS,4,Lancar,196,5,Layak
22,8,Wirausaha,1,Lancar,164,10,Layak
36,6,Wirausaha,1,Lancar,62,15,Layak
52,21,Tidak Bekerja,2,Lancar,424,25,Tidak Layak
31,13,Pelajar,0,Macet,214,15,Layak
41,12,Pelajar,5,Lancar,328,20,Layak
41,11,Swasta,1,Lancar,360,15,Layak
49,5,Pelajar,2,Lancar,284,10,Tidak Layak
57,6,Tidak Bekerja,1,Lancar,286,5,Tidak Layak
57,19,Wirausaha,0,Lancar,234,5,Tidak Layak
27,3,PNS,3,Lancar,194,15,Tidak Layak
46,16,Wirausaha,1,Lancar,416,20,Layak
46,16,Pelajar,4,Lancar,454,5,Tidak Layak
53,16,PNS,0,Lancar,335,20,Layak
40,24,Swasta,3,Lancar,348,25,Layak
49,2,Swasta,4,Macet,475,10,Tidak Layak
52,9,Pelajar,1,Lancar,76,15,Layak
47,3,Pelajar,3,Macet,383,25,Tidak Layak
52,1,Pelajar,2,Lancar,180,10,Tidak Layak
24,21,PNS,2,Macet,319,10,Tidak Layak
38,3,Wirausaha,2,Lancar,173,20,Tidak Layak
23,1,Swasta,1,Lancar,151,15,Tidak Layak
54,17,Pelajar,4,Lancar,331,20,Tidak Layak
36,12,Wirausaha,3,Macet,420,15,Tidak Layak
47,7,Tidak Bekerja,5,Lancar,106,25,Layak
49,19,Pelajar,3,Macet,457,10,Tidak Layak
48,21,Wirausaha,5,Lancar,113,5,Layak
25,3,Wirausaha,0,Lancar,90,20,Tidak Layak
54,1,PNS,0,Lancar,411,10,Tidak Layak
60,16,Wirausaha,1,Lancar,479,10,Tidak Layak
56,8,PNS,3,Lancar,325,25,Layak
43,8,Wirausaha,0,Lancar,460,10,Layak
48,8,Pelajar,0,Lancar,125,5,Tidak Layak
50,7,Swasta,1,Lancar,233,20,Layak
54,10,Swasta,3,Lancar,308,5,Tidak Layak
52,21,PNS,2,Lancar,137,15,Layak
40,10,Swasta,3,Lancar,380,15,Layak
51,8,Pelajar,4,Lancar,467,10,Tidak Layak
42,2,PNS,2,Lancar,433,5,Tidak Layak
52,13,Swasta,2,Lancar,399,5,Tidak Layak
22,16,Swasta,2,Macet,193,10,Tidak Layak
37,7,Tidak Bekerja,5,Lancar,223,20,Layak
44,13,Wirausaha,3,Macet,167,5,Tidak Layak
50,2,Wirausaha,0,Lancar,390,5,Tidak Layak
22,4,Pelajar,4,Lancar,158,5,Tidak Layak
59,13,Swasta,2,Lancar,138,15,Layak
43,14,Wirausaha,0,Lancar,142,5,Layak
51,18,Wirausaha,3,Lancar,401,20,Layak
41,20,Swasta,4,Macet,455,15,Tidak Layak
42,19,Swasta,1,Lancar,332,25,Layak
21,4,PNS,2,Lancar,486,15,Tidak Layak
46,17,Tidak Bekerja,1,Lancar,184,15,Layak
21,7,Swasta,4,Lancar,216,10,Layak
45,3,Wirausaha,1,Macet,115,20,Tidak Layak
36,15,PNS,1,Lancar,373,25,Layak
59,13,Wirausaha,1,Lancar,211,15,Layak
52,2,Pelajar,4,Lancar,147,20,Tidak Layak
28,20,Pelajar,1,Lancar,354,5,Layak
58,17,Pelajar,3,Lancar,72,5,Layak
48,18,Swasta,1,Lancar,191,5,Layak
45,6,Swasta,1,Lancar,106,25,Layak
54,19,Swasta,2,Lancar,407,10,Tidak Layak
44,17,Pelajar,5,Macet,447,5,Tidak Layak
43,1,Wirausaha,4,Macet,382,20,Tidak Layak
32,15,Tidak Bekerja,3,Lancar,104,15,Layak
26,14,Wirausaha,4,Lancar,492,5,Layak
55,8,PNS,1,Lancar,428,5,Layak
39,13,Tidak Bekerja,2,Lancar,207,15,Layak
20,13,Wirausaha,0,Lancar,333,25,Layak
27,20,Wirausaha,5,Lancar,455,5,Layak
35,11,Wirausaha,1,Macet,352,5,Tidak Layak
33,19,Swasta,1,Lancar,152,10,Layak
31,7,Tidak Bekerja,3,Lancar,107,5,Layak
42,3,PNS,5,Lancar,434,10,Tidak Layak
34,6,Swasta,3,Lancar,385,5,Layak
47,4,Wirausaha,5,Macet,238,20,Tidak Layak
53,6,Wirausaha,3,Macet,269,10,Tidak Layak
21,7,Wirausaha,1,Macet,422,10,Tidak Layak
51,1,Pelajar,1,Lancar,458,20,Tidak Layak
42,11,PNS,5,Macet,242,20,Layak
41,6,Tidak Bekerja,2,Lancar,198,20,Layak
44,11,Wirausaha,4,Lancar,499,20,Layak
41,2,PNS,4,Lancar,195,5,Tidak Layak
41,5,Swasta,1,Lancar,107,15,Layak
25,9,PNS,5,Lancar,51,5,Layak
34,17,Swasta,0,Lancar,118,20,Layak
56,19,Pelajar,3,Lancar,461,25,Tidak Layak
52,22,Swasta,3,Lancar,140,25,Layak
27,2,Swasta,2,Lancar,190,25,Tidak Layak
24,2,Swasta,3,Lancar,150,20,Tidak Layak
58,12,PNS,2,Macet,278,25,Layak
23,19,Tidak Bekerja,1,Lancar,490,15,Tidak Layak
25,21,Wirausaha,2,Lancar,260,25,Layak
51,21,Tidak Bekerja,5,Lancar,341,15,Tidak Layak
49,3,Swasta,0,Lancar,266,10,Tidak Layak
54,8,Tidak Bekerja,1,Lancar,155,20,Layak
59,3,Pelajar,5,Lancar,187,20,Tidak Layak
35,3,Tidak Bekerja,3,Lancar,285,20,Tidak Layak
32,16,Pelajar,2,Lancar,84,25,Layak
49,20,PNS,2,Lancar,326,5,Layak
38,18,Swasta,2,Lancar,446,15,Layak
36,2,Swasta,4,Lancar,493,10,Tidak Layak
38,22,Wirausaha,5,Lancar,295,25,Layak
47,13,Wirausaha,2,Lancar,113,25,Layak
45,22,PNS,0,Lancar,472,25,Layak
56,6,Swasta,1,Macet,86,20,Tidak Layak
45,16,Tidak Bekerja,0,Lancar,284,15,Layak
42,3,Wirausaha,0,Lancar,251,20,Tidak Layak
28,14,Pelajar,1,Lancar,461,25,Layak
31,23,PNS,4,Lancar,167,25,Layak
20,7,PNS,1,Lancar,109,25,Layak
20,8,Swasta,4,Lancar,279,5,Tidak Layak
53,2,Pelajar,1,Lancar,256,15,Tidak Layak
51,5,Pelajar,3,Lancar,255,15,Tidak Layak
44,1,Swasta,3,Lancar,395,10,Tidak Layak
59,19,Pelajar,5,Lancar,484,25,Tidak Layak
20,3,Swasta,0,Lancar,438,10,Tidak Layak
35,24,Swasta,4,Lancar,203,15,Layak
58,16,PNS,1,Lancar,435,25,Layak
24,12,PNS,3,Lancar,348,25,Layak
41,9,Swasta,2,Lancar,334,15,Layak
48,4,Pelajar,1,Lancar,490,25,Tidak Layak
22,2,PNS,5,Macet,238,10,Tidak Layak
31,2,Tidak Bekerja,1,Lancar,160,10,Tidak Layak
45,5,Tidak Bekerja,1,Macet,159,25,Tidak Layak
35,6,Swasta,3,Lancar,270,25,Layak
56,10,Wirausaha,1,Macet,106,25,Tidak Layak
41,10,Wirausaha,5,Lancar,243,15,Layak
48,7,Swasta,2,Lancar,261,5,Layak
33,14,Swasta,2,Lancar,161,25,Layak
47,15,Swasta,1,Lancar,164,15,Layak
24,2,Pelajar,1,Lancar,488,15,Tidak Layak
49,16,PNS,5,Lancar,319,25,Layak
24,19,Wirausaha,1,Lancar,52,5,Layak
31,24,PNS,1,Lancar,115,25,Layak
35,21,PNS,5,Lancar,72,20,Layak
45,3,Swasta,2,Lancar,133,25,Tidak Layak
45,21,Wirausaha,1,Lancar,50,25,Layak
40,6,Pelajar,4,Lancar,224,20,Layak
58,1,Swasta,3,Lancar,359,25,Tidak Layak
55,1,Swasta,3,Lancar,340,20,Tidak Layak
52,1,Pelajar,1,Lancar,408,10,Tidak Layak
49,6,Pelajar,5,Lancar,253,5,Tidak Layak
56,17,Tidak Bekerja,0,Lancar,428,15,Tidak Layak
42,5,Pelajar,4,Lancar,282,20,Layak
29,23,PNS,3,Macet,51,10,Layak
24,7,Tidak Bekerja,0,Lancar,479,10,Tidak Layak
55,2,Pelajar,3,Lancar,373,10,Tidak Layak
53,19,Swasta,1,Macet,85,15,Tidak Layak
50,22,Wirausaha,0,Lancar,470,10,Layak
29,1,Swasta,4,Lancar,396,20,Tidak Layak
38,17,Wirausaha,0,Lancar,78,25,Layak
51,21,Pelajar,5,Lancar,119,25,Layak
20,24,Tidak Bekerja,4,Lancar,52,20,Layak
24,9,Pelajar,5,Lancar,280,20,Layak
23,17,PNS,4,Lancar,90,20,Layak
35,4,Pelajar,5,Lancar,282,20,Tidak Layak
43,22,Swasta,5,Lancar,484,15,Layak
35,4,Wirausaha,4,Lancar,267,5,Tidak Layak
21,13,Swasta,1,Lancar,92,25,Layak
47,14,PNS,0,Lancar,82,25,Layak
51,11,PNS,2,Macet,188,20,Layak
46,4,Swasta,0,Lancar,83,25,Tidak Layak
39,13,Tidak Bekerja,3,Lancar,111,10,Layak
43,12,Wirausaha,2,Lancar,149,5,Layak
31,21,Tidak Bekerja,3,Lancar,100,25,Layak
54,18,PNS,0,Lancar,479,15,Layak
52,2,Swasta,2,Lancar,427,25,Tidak Layak
52,18,Wirausaha,4,Lancar,307,15,Layak
56,22,Swasta,4,Lancar,126,10,Layak
31,8,Swasta,3,Macet,61,25,Layak
22,2,Swasta,3,Lancar,227,25,Tidak Layak
20,15,Pelajar,2,Lancar,68,25,Layak
52,15,Swasta,0,Lancar,291,20,Layak
59,3,Pelajar,3,Lancar,444,25,Tidak Layak
29,3,Tidak Bekerja,2,Lancar,494,15,Tidak Layak
48,22,Swasta,5,Macet,461,10,Tidak Layak
32,9,Swasta,1,Lancar,398,25,Layak
31,2,Swasta,4,Lancar,243,5,Tidak Layak
50,3,Swasta,1,Lancar,401,25,Tidak Layak
21,2,Wirausaha,1,Lancar,439,20,Tidak Layak
54,21,Tidak Bekerja,1,Lancar,144,5,Tidak Layak
42,24,Swasta,5,Lancar,59,5,Layak
36,6,PNS,2,Lancar,291,5,Layak
45,17,Tidak Bekerja,5,Lancar,430,5,Tidak Layak
27,15,PNS,0,Macet,324,15,Layak
48,12,Tidak Bekerja,5,Lancar,133,15,Layak
45,8,Pelajar,4,Macet,161,15,Tidak Layak
29,22,Swasta,3,Lancar,184,10,Layak
45,1,Swasta,2,Lancar,278,15,Tidak Layak
53,1,PNS,4,Lancar,410,5,Tidak Layak
60,6,Wirausaha,1,Lancar,284,20,Layak
26,16,Pelajar,1,Macet,424,15,Tidak Layak
23,2,PNS,4,Lancar,495,15,Tidak Layak
30,15,PNS,5,Lancar,436,10,Layak
48,10,Wirausaha,2,Macet,334,15,Tidak Layak
55,21,Swasta,5,Lancar,389,15,Tidak Layak
44,16,Pelajar,4,Lancar,454,15,Tidak Layak
40,14,Wirausaha,3,Lancar,377,5,Layak
55,24,PNS,3,Lancar,436,10,Layak
29,17,Pelajar,5,Lancar,124,10,Layak
56,22,PNS,1,Lancar,344,25,Layak
28,23,Tidak Bekerja,1,Lancar,394,5,Layak
43,13,Swasta,4,Macet,97,20,Layak
54,13,Wirausaha,5,Lancar,138,10,Layak
54,9,Pelajar,2,Macet,409,15,Tidak Layak
55,6,PNS,0,Lancar,288,15,Layak
37,10,Swasta,0,Lancar,219,25,Layak
58,20,Wirausaha,0,Lancar,404,5,Tidak Layak
51,9,Swasta,4,Macet,256,20,Tidak Layak
43,15,PNS,1,Lancar,144,20,Layak
42,19,Swasta,2,Lancar,376,25,Layak
51,1,Swasta,2,Lancar,375,15,Tidak Layak
56,1,Swasta,3,Lancar,365,20,Tidak Layak
31,8,Swasta,1,Lancar,331,25,Layak
32,2,Swasta,1,Lancar,353,25,Tidak Layak
42,2,PNS,5,Lancar,125,5,Tidak Layak
44,10,Wirausaha,3,Lancar,82,5,Layak
54,1,Swasta,3,Lancar,207,15,Tidak Layak
60,16,Tidak Bekerja,2,Lancar,209,10,Tidak Layak
49,3,Wirausaha,3,Macet,194,15,Tidak Layak
36,4,PNS,4,Lancar,475,5,Tidak Layak
39,24,Pelajar,3,Macet,462,15,Tidak Layak
44,11,Swasta,2,Lancar,395,25,Layak
41,13,Pelajar,5,Lancar,331,10,Tidak Layak
32,2,Swasta,3,Lancar,459,25,Tidak Layak
38,15,Wirausaha,1,Lancar,173,25,Layak
55,21,Pelajar,2,Lancar,63,10,Layak
31,7,PNS,4,Lancar,144,15,Layak
60,4,PNS,5,Lancar,187,10,Tidak Layak
38,17,PNS,3,Lancar,489,20,Layak
31,12,Pelajar,5,Lancar,112,20,Layak
28,20,PNS,3,Lancar,141,10,Layak
26,13,Wirausaha,3,Macet,472,15,Tidak Layak
47,9,Tidak Bekerja,2,Lancar,395,20,Layak
33,22,Swasta,4,Lancar,297,25,Layak
50,2,Swasta,1,Lancar,146,5,Tidak Layak
38,17,Pelajar,0,Lancar,394,5,Layak
35,6,Wirausaha,3,Lancar,379,15,Layak
24,11,Pelajar,0,Lancar,119,20,Layak
54,23,Wirausaha,0,Macet,242,5,Tidak Layak
31,4,Swasta,3,Lancar,57,5,Tidak Layak
44,23,PNS,5,Lancar,431,15,Layak
40,22,Pelajar,1,Lancar,495,20,Layak
55,11,Pelajar,1,Macet,162,25,Tidak Layak
42,20,Swasta,2,Lancar,93,15,Layak
35,22,Swasta,3,Lancar,152,5,Layak
